ForecastModel,Observations,ForecastStart,ForecastEnd,MeanError,RMSE,MAE,MedianAbsoluteError,MASE,HuberLoss,Correlation,SignAccuracyPercent,SignAccuracyMeaningful,TrainingScaleMinimum,TrainingScaleMaximum,SmallSampleWarning
Nested selected,12,2016-01-01,2018-10-01,0.0969097281913412,0.917404558186646,0.750647665066831,0.580030229830235,0.454705524808224,0.154829438249151,0.45157956145629,100,0,1.58303181472412,1.71242705313595,1
Persistence,12,2016-01-01,2018-10-01,0.155592320544739,1.05220534083249,0.888634154471529,0.779549105264304,0.541567759220144,0.205715760149696,0.509326998846633,100,0,1.58303181472412,1.71242705313595,1
V1 fixed historical OLS,12,2016-01-01,2018-10-01,-0.892040307147593,1.42358847307486,1.12851075140545,0.77196714174558,0.679456998651656,0.357822207450372,-0.197892540632793,100,0,1.58303181472412,1.71242705313595,1
V1 expanding OLS,12,2016-01-01,2018-10-01,-0.824852895929304,1.40554837592026,1.10139828591655,0.78879972574431,0.66304959535762,0.349304255256976,-0.280903084130282,100,0,1.58303181472412,1.71242705313595,1
