ForecastModel,Observations,RMSE,MAE,RMSEImprovementVsPersistence,MAEImprovementVsPersistence
Nested selected,12,0.917404558186646,0.75064766506683,12.8112619670978,15.5279299935032
Persistence,12,1.05220534083249,0.888634154471529,0,0
V1 fixed historical OLS,12,1.42358847307486,1.12851075140545,-35.2956897128593,-26.9938529513957
V1 expanding OLS,12,1.40554837592026,1.10139828591655,-33.5811862357783,-23.9428262321909
