Model,Observations,RSquared,AdjustedRSquared,RMSE,AIC,BIC,FStatistic
Lag 0,266,0.0197694308583247,0.00854541670784748,4.15909893205696,1521.13407396921,1535.46805920434,1.76135120584146
Lag 1,265,0.0713760763700484,0.0607022381674052,4.04035044363051,1500.09308139098,1514.41200069492,6.68701127138819
Lag 2,264,0.0436479535318899,0.0326131222264886,4.09657178516685,1501.75899579488,1516.06279220746,3.95547084716422
Lag 3,263,0.0363208599677705,0.0251585533264705,4.11961666947558,1499.05149034608,1513.34010647479,3.25388480490091
Lag 4,262,0.0531685103796584,0.042158841895701,4.06200917786587,1486.00291804202,1500.27629605706,4.82925625391282
