Date,ActualGDPGrowth,FixedForecast,ExpandingForecast,NaiveForecast,FixedError,ExpandingError,NaiveError,TrainingSize
2016-01-01,2.3113866073885,3.11485266818834,3.11485266818833,0.737236690842025,-0.803466060799837,-0.803466060799833,1.57414991654647,220
2016-04-01,1.28243826506917,3.30496620237632,3.30104836701931,2.3113866073885,-2.02252793730715,-2.01861010195014,-1.02894834231933,221
2016-07-01,2.82754367644173,2.61905315179987,2.57822496137145,1.28243826506917,0.208490524641855,0.249318715070284,1.54510541137256,222
2016-10-01,2.21107411448429,3.45068262771943,3.42219318830518,2.82754367644173,-1.23960851323514,-1.21111907382089,-0.61646956195744,223
2017-01-01,1.94283493241443,3.37591430703489,3.31906568790519,2.21107411448429,-1.43307937462046,-1.37623075549076,-0.26823918206986,224
2017-04-01,2.23324440519121,3.39155252530562,3.30852776125876,1.94283493241443,-1.15830812011441,-1.07528335606755,0.29040947277678,225
2017-07-01,3.14172610273928,3.30117315571334,3.1768874020733,2.23324440519121,-0.159447052974063,-0.0351612993340189,0.90848169754807,226
2017-10-01,4.48297110775755,2.69450468980258,2.59475300046198,3.14172610273928,1.78846641795497,1.88821810729557,1.34124500501827,227
2018-01-01,3.24047781966783,3.55966393274336,3.49676962905359,4.48297110775755,-0.319186113075532,-0.25629180938576,-1.24249328808972,228
2018-04-01,2.11768492150739,3.49056553597505,3.40763398407149,3.24047781966783,-1.37288061446766,-1.2899490625641,-1.12279289816044,229
2018-07-01,2.48704193009033,2.75252448802475,2.63583455598043,2.11768492150739,-0.26548255793442,-0.148792625890096,0.36935700858294,230
2018-10-01,0.566175993273532,3.07653227220122,2.96994541657629,2.48704193009033,-2.51035627892769,-2.40376942330276,-1.9208659368168,231
2019-01-01,2.48950916290696,2.31171484056886,2.17411613855556,0.566175993273532,0.177794322338095,0.315393024351399,1.92333316963343,232
2019-04-01,3.32671117315826,2.74392699791796,2.62094122186622,2.48950916290696,0.582784175240305,0.705769951292039,0.8372020102513,233
2019-07-01,4.65284103236385,4.03857898039643,3.90587302866747,3.32671117315826,0.614262051967421,0.74696800369638,1.32612985920559,234
2019-10-01,2.71825438722146,3.60971123862489,3.51176280588467,4.65284103236385,-0.891456851403431,-0.793508418663205,-1.93458664514239,235
2020-01-01,-5.30024788318642,2.90883304120401,2.79537693551066,2.71825438722146,-8.20908092439043,-8.09562481869708,-8.01850227040788,236
2020-04-01,-32.8172824161079,1.71672763879132,1.42070073043023,-5.30024788318642,-34.5340100548992,-34.2379831465381,-27.5170345329215,237
2020-07-01,29.9029985449792,-33.0401892346566,-31.4543911863646,-32.8172824161079,62.9431877796358,61.3573897313438,62.7202809610871,238
2020-10-01,4.50855586281733,26.4351767235881,-15.7061059516617,29.9029985449792,-21.9266208607708,20.2146618144791,-25.3944426821619,239
2021-01-01,5.54465861389559,17.5487878429747,-9.69603918484644,4.50855586281733,-12.0041292290791,15.240697798742,1.03610275107826,240
2021-04-01,6.75028541670528,0.441979901893745,1.74381248308776,5.54465861389559,6.30830551481153,5.00647293361752,1.20562680280969,241
2021-07-01,3.28667165676748,1.74453092369172,2.03818605261963,6.75028541670528,1.54214073307576,1.24848560414785,-3.4636137599378,242
2021-10-01,6.80480923588576,4.77257627642428,-1.18292354338782,3.28667165676748,2.03223295946148,7.98773277927358,3.51813757911828,243
2022-01-01,-1.0204951651815,4.62222157588339,0.0326113386967642,6.80480923588576,-5.64271674106489,-1.05310650387826,-7.82530440106726,244
2022-04-01,0.625698380341078,0.871544092658619,-2.82987895021132,-1.0204951651815,-0.245845712317541,3.4555773305524,1.64619354552258,245
2022-07-01,2.87722533011703,0.795828771898461,-1.466789605723,0.625698380341078,2.08139655821857,4.34401493584003,2.25152694977595,246
2022-10-01,2.75147654012926,0.876586858881353,0.489236844985383,2.87722533011703,1.87488968124791,2.26223969514388,-0.12574878998777,247
2023-01-01,2.88497467969933,0.176929684197375,1.09542582500973,2.75147654012926,2.70804499550196,1.7895488546896,0.13349813957007,248
2023-04-01,2.50363621920613,1.39170584608693,1.09594649531191,2.88497467969933,1.1119303731192,1.40768972389422,-0.3813384604932,249
2023-07-01,4.58801095843668,2.43105923816417,2.18715086848538,2.50363621920613,2.15695172027251,2.4008600899513,2.08437473923055,250
2023-10-01,3.36205961058766,2.60150494187676,3.36373624438471,4.58801095843668,0.760554668710895,-0.00167663379704841,-1.22595134784902,251
2024-01-01,0.838565765857879,2.51826363798754,2.91960115364485,3.36205961058766,-1.67969787212966,-2.08103538778697,-2.52349384472978,252
2024-04-01,3.52635541709461,2.88666067488987,1.31473413374365,0.838565765857879,0.639694742204742,2.21162128335096,2.68778965123673,253
2024-07-01,3.28558125961962,2.95165911883217,2.92598364978508,3.52635541709461,0.333922140787455,0.359597609834541,-0.24077415747499,254
2024-10-01,1.83528197133214,2.65058395419089,3.19478312835308,3.28558125961962,-0.815301982858753,-1.35950115702094,-1.45029928828748,255
