Date,Intercept,GDPGrowth_L1,Inflation_L1,Inflation_L2,Inflation_L3,Inflation_L4,Unemployment_L1,Unemployment_L2,Unemployment_L3,Unemployment_L4,InterestRate_L1,InterestRate_L2,InterestRate_L3,InterestRate_L4
2016-01-01,2.94973489317716,0.119207184047388,-0.0777539654123479,-0.0248745869452871,-0.116460256614533,-0.0625440384480553,-3.53327871249502,3.98805103359142,0.526913204866944,-0.932265692339598,0.135044702385311,-1.05772241885928,1.35742152039766,-0.338049782331649
2016-04-01,2.92557991713165,0.120754834465055,-0.0771151930116322,-0.0252561299324605,-0.12071410320407,-0.0577411776538745,-3.53705015946312,4.01827390995842,0.489626005096426,-0.920069215879501,0.136259173920622,-1.05877394047789,1.36223217387107,-0.342152584380188
2016-07-01,2.86876827338182,0.122376945220612,-0.073696979266133,-0.0222359272517281,-0.121490556921043,-0.0646250127794756,-3.51240073737111,3.96508841015362,0.562384311969996,-0.960331142356358,0.136137977355137,-1.05895570680063,1.36587580195566,-0.341083989021485
2016-10-01,2.87604013938482,0.122037866399246,-0.0727837059551716,-0.0230089654444465,-0.121752931099108,-0.0644257908057227,-3.51241940337892,3.96324846061497,0.563772221691985,-0.960346535126117,0.135560367559541,-1.05885872749931,1.36589461676539,-0.341093344511776
2017-01-01,2.84703580266961,0.12213815343946,-0.0723752574462602,-0.0277446090777339,-0.118021033297285,-0.0639263329924007,-3.51084513247473,3.94812030015799,0.586607504133767,-0.967605083709954,0.134281355740103,-1.05474598477742,1.36454413149828,-0.34040963146329
2017-04-01,2.8032668414863,0.123925919770578,-0.0753475504791093,-0.0255458180114625,-0.123926881779632,-0.0589501978824102,-3.48501527699502,3.91971153846309,0.583096309643078,-0.957609620250665,0.140352297899385,-1.06075085605564,1.37101905576994,-0.34405309422364
2017-07-01,2.76307657603498,0.12584778510314,-0.0755176034852962,-0.0267196789229353,-0.122285037039864,-0.0621730427964773,-3.45677238224459,3.8996140168366,0.568074908474232,-0.946605761135559,0.142730580433489,-1.05883659027375,1.36916626518367,-0.343491747970845
2017-10-01,2.76183025227327,0.125892123806265,-0.075407749919756,-0.0268065213127074,-0.122315204134598,-0.0622092347776393,-3.45620325896841,3.89946086790222,0.567450730508584,-0.946273286238395,0.142749650775451,-1.05884991063371,1.36926070275557,-0.343520918508976
2018-01-01,2.81087708650126,0.126454428764006,-0.0746528750550563,-0.0323289814672714,-0.117660657998478,-0.0597855033056911,-3.4429010647356,3.86810923615771,0.574195559171854,-0.939831294615041,0.140138455454939,-1.05669085461352,1.36850842579175,-0.346497031301811
2018-04-01,2.80376137048029,0.126350178309944,-0.075036878043946,-0.032335741703443,-0.116971251561898,-0.0605323226851721,-3.43919503833893,3.86039990617174,0.581821073943079,-0.942608102822182,0.1408413482675,-1.05680570008125,1.36793977771745,-0.345957765107243
2018-07-01,2.76209887208653,0.126999876615781,-0.0767553150374286,-0.0342304217692468,-0.117222785438712,-0.0583084263796241,-3.42988167975653,3.86785066367321,0.554671652984687,-0.927393799920036,0.14290864728074,-1.05408612751737,1.36627033454731,-0.346902473913295
2018-10-01,2.75700914900911,0.127141271899748,-0.0766135303591395,-0.0344557890611041,-0.117420757391194,-0.0582846250099914,-3.4283577978501,3.86714759955979,0.554437055750538,-0.927397362686057,0.143049430117032,-1.05411624032237,1.36685529697094,-0.347310543236873
2019-01-01,2.66682919938565,0.129413657552913,-0.0728503792940547,-0.0334954077774955,-0.12103027365787,-0.0631805363657014,-3.375524697598,3.81389455145982,0.555493466541751,-0.917274277830432,0.148203903715066,-1.0610163545031,1.37075384706122,-0.345098973984129
2019-04-01,2.67836582976887,0.129001667919851,-0.0733643879334643,-0.0335832129694826,-0.121249652215961,-0.0622982844527468,-3.37499022441771,3.80693753699148,0.563986246193046,-0.920551044358546,0.148852231607667,-1.06210040141618,1.37155646521183,-0.345840724131919
2019-07-01,2.69951464246093,0.12898210487186,-0.0744505450835724,-0.0335885149666653,-0.121634457717994,-0.0614099453976878,-3.37653129133029,3.81877905615087,0.545165807217799,-0.914282588643743,0.15008164623041,-1.06156943602996,1.37016299647238,-0.346667620727129
2019-10-01,2.72907792298335,0.128091298831889,-0.0730805520630971,-0.0352773313956289,-0.121423529887547,-0.0613757456029184,-3.40433717293979,3.85628367232578,0.541223359134031,-0.923667330022067,0.146730479627695,-1.05762194745631,1.37080545158301,-0.348255085074961
