Row,GDPGrowth,Inflation,Unemployment,InterestRate
GDPGrowth,1,0.0272449831301124,-0.128636417111683,-0.0310574697894345
Inflation,0.0272449831301124,1,-0.0121136536793639,0.612388612538524
Unemployment,-0.128636417111683,-0.0121136536793639,1,0.0537178532079582
InterestRate,-0.0310574697894345,0.612388612538524,0.0537178532079582,1
