Variable,Coefficient,StandardError,TStatistic,ApproxPValue
Intercept,2.83065094544124,0.681211864991208,4.15531656289894,3.24837473300295e-05
GDPGrowth_L1,0.0533710576508458,0.0674010165070364,0.79184351240866,0.428451927358998
Inflation_0,0.078400737519118,0.0904560482908592,0.866727421775295,0.386091376929779
Inflation_L1,-0.161408018523642,0.102231884422634,-1.57884225097885,0.114372244703779
Inflation_L2,-0.0463417699425655,0.101034494332398,-0.458672755763033,0.646469181238986
Inflation_L3,-0.0841682140038237,0.102483713593482,-0.82128380259219,0.41148463162715
Inflation_L4,-0.0602720271968883,0.0906335044843245,-0.66500823883857,0.506045223483859
Unemployment_0,-4.21885542821467,0.254605246186933,-16.5701826313396,1.1447757696059e-61
Unemployment_L1,5.23558500135469,0.391590180459432,13.3700620255903,9.046538216857e-41
Unemployment_L2,-1.43965802679006,0.46164602460645,-3.118532273764,0.00181754235170102
Unemployment_L3,0.592948956100488,0.322872911144697,1.83647786987851,0.0662870121402312
Unemployment_L4,-0.135858699299099,0.240330654737547,-0.565299085326688,0.571870350741967
InterestRate_0,0.357459390304288,0.214338225092331,1.66773514220483,0.0953683159733697
InterestRate_L1,-0.0224350031702914,0.33036254780652,-0.0679102498732112,0.945857079372736
InterestRate_L2,-0.959744729991777,0.339881261917714,-2.82376476001237,0.00474632066949791
InterestRate_L3,0.926611181570774,0.339043350101001,2.7330168289534,0.00627571256638998
InterestRate_L4,-0.145132139523759,0.219390039728471,-0.661525654051486,0.5082752681528
