Variable,Mean,StdDev,Minimum,Maximum
GDP Growth,2.93810987537782,4.20874885531694,-32.8172824161079,29.9029985449792
Inflation,3.65131232731386,2.97996062293417,-9.2672901428724,15.4791455124069
Unemployment,5.85144110275689,1.68889051298829,3.4,13
Interest Rate,4.78180451127819,3.58637869156228,0.06,17.78
