Model,Intercept,Inflation,Unemployment,InterestRate
Lag 0,4.77691763483915,0.0918962414885833,-0.310003350962811,-0.0753655420618427
Lag 1,0.965100659840994,-0.257481689667202,0.487539286796289,0.00684775465745078
Lag 2,2.05538083484391,-0.209328198354015,0.307570970444143,-0.0335929495840794
Lag 3,1.68339276933829,-0.179974004581249,0.334612265481678,-0.0108480231226416
Lag 4,1.97342511924404,-0.311262718905256,0.304156857998888,0.0720367140562742
