Model,RMSE,MAE,Correlation,DirectionalAccuracy
Fixed Historical Model,11.9541442857965,4.65610316104818,-0.40209938005078,88.0952380952381
Expanding Window Model,11.7874959871121,4.78589291220801,-0.528798587441582,76.1904761904762
Naive Persistence,11.5333506830437,4.45440986394315,-0.285809942359054,85.7142857142857
