Regime,Observations,ModelRMSE,NaiveRMSE,RMSEImprovementPercent,ModelMAE,NaiveMAE,MAEImprovementPercent
2016-2019 Pre-COVID,16,1.19472842660434,1.26532117393868,5.57903785918579,0.971724810437652,1.14061308784321,14.80679813388
2020 COVID Shock,4,37.7578086305653,36.7430093049067,-2.76188408313918,31.9032249049241,30.9125651116446,-3.20471558960436
2021+ Post-COVID,22,3.54464569901465,2.70481003521701,-31.0497096972751,2.38162891715112,2.05387020152466,-15.9581026777232
Full Test Sample,42,11.9541442857965,11.5333506830437,-3.64849395736629,4.65610316104817,4.45440986394315,-4.52794653535727
